"","NEWSPAPER","ARTICLENUMBER","HarmCare","FairRecip","AuthorityRespect","Ingroup","Purity"
"1","NYT GW    ",1,3.85714285714286,1.42857142857143,1.14285714285714,1.28571428571429,1
"2","NYT GW    ",13,2.85714285714286,2.28571428571429,0.714285714285714,1,1
"3","NYT GW    ",15,3.28571428571429,2.14285714285714,1.42857142857143,3.57142857142857,1.71428571428571
"4","NYT GW    ",16,1.57142857142857,1.28571428571429,2.71428571428571,1.28571428571429,1.71428571428571
"5","NYT GW    ",17,3.28571428571429,2,1,0.571428571428571,0.428571428571429
"6","NYT GW    ",20,3.71428571428571,2.28571428571429,1.85714285714286,1.71428571428571,0.714285714285714
"7","NYT GW    ",22,4,3.14285714285714,1,0.714285714285714,1.42857142857143
"8","NYT GW    ",27,2.57142857142857,2,1.42857142857143,4.57142857142857,1.57142857142857
"9","NYT GW    ",28,1.85714285714286,3.57142857142857,2.85714285714286,2,0.285714285714286
"10","NYT GW    ",30,3.28571428571429,1.85714285714286,2,3.57142857142857,1.42857142857143
"11","NYT GW    ",34,1.71428571428571,1.28571428571429,1.14285714285714,4.57142857142857,1
"12","NYT GW    ",35,2.28571428571429,2.42857142857143,1.28571428571429,2,1.14285714285714
"13","NYT GW    ",36,2.28571428571429,1.28571428571429,1.42857142857143,4.71428571428571,1.57142857142857
"14","NYT GW    ",38,3.42857142857143,1.57142857142857,1.14285714285714,1.85714285714286,2
"15","NYT GW    ",42,2.42857142857143,2.28571428571429,1.57142857142857,5.42857142857143,0.857142857142857
"16","NYT GW    ",46,2.85714285714286,2.28571428571429,0.428571428571429,1.71428571428571,3.14285714285714
"17","NYT GW    ",51,3,2.57142857142857,1.28571428571429,4.42857142857143,1.71428571428571
"18","NYT GW    ",56,2,1.71428571428571,2,1.71428571428571,0.714285714285714
"19","NYT GW    ",57,2.28571428571429,2,3.14285714285714,1.28571428571429,1
"20","NYT GW    ",58,2.71428571428571,1.71428571428571,1.57142857142857,2.42857142857143,1.28571428571429
"21","NYT GW    ",60,0.571428571428571,0.714285714285714,1.28571428571429,0.428571428571429,0.571428571428571
"22","NYT GW    ",63,3.85714285714286,2,1.28571428571429,1,1.42857142857143
"23","NYT GW    ",71,4.14285714285714,3.14285714285714,2.28571428571429,3,2.42857142857143
"24","NYT GW    ",83,1.85714285714286,3.42857142857143,0.714285714285714,1.42857142857143,1
"25","NYT GW    ",84,1.28571428571429,1,2,2,1.14285714285714
"26","NYT GW    ",96,2.28571428571429,1.71428571428571,1.71428571428571,3.28571428571429,1.42857142857143
"27","NYT GW    ",97,2.28571428571429,2.14285714285714,2.42857142857143,3,1.28571428571429
"28","NYT GW    ",98,4.71428571428571,3,0.714285714285714,0.571428571428571,1.28571428571429
"29","NYT GW    ",99,2,1,1.57142857142857,1.85714285714286,2.42857142857143
"30","NYT GW    ",100,1.28571428571429,2.42857142857143,1.85714285714286,1,0.285714285714286
"31","NYT GW    ",102,3.85714285714286,2.85714285714286,1.71428571428571,0.857142857142857,3.57142857142857
"32","NYT GW    ",103,1.28571428571429,1,0.571428571428571,0.857142857142857,0.142857142857143
"33","NYT GW    ",105,0.857142857142857,0.714285714285714,3.71428571428571,3.14285714285714,0.285714285714286
"34","NYT Others",1,5.28571428571429,4.85714285714286,0.571428571428571,2.14285714285714,4.42857142857143
"35","NYT Others",2,1.16666666666667,1.33333333333333,0.833333333333333,0.666666666666667,0.333333333333333
"36","NYT Others",4,2.14285714285714,1.14285714285714,2.85714285714286,4.28571428571429,1
"37","NYT Others",5,3.57142857142857,1.57142857142857,0.571428571428571,2.14285714285714,3
"38","NYT Others",6,3.28571428571429,3.14285714285714,1.42857142857143,1.57142857142857,2.14285714285714
"39","NYT Others",7,3,3.14285714285714,1.85714285714286,2.71428571428571,1.42857142857143
"40","NYT Others",11,2.57142857142857,1.57142857142857,1.14285714285714,0.571428571428571,0.857142857142857
"41","NYT Others",12,4.14285714285714,0.571428571428571,1.14285714285714,0.714285714285714,2.28571428571429
"42","NYT Others",13,3.85714285714286,1.57142857142857,1.71428571428571,1.71428571428571,1.85714285714286
"43","NYT Others",16,4.42857142857143,2.14285714285714,1,2.28571428571429,2.42857142857143
"44","NYT Others",18,5,3.42857142857143,1.28571428571429,2.28571428571429,2.14285714285714
"45","NYT Others",19,5.14285714285714,4.57142857142857,2,1.28571428571429,2.85714285714286
"46","NYT Others",20,3.28571428571429,4.14285714285714,2.85714285714286,1.14285714285714,1.28571428571429
"47","NYT Others",21,2.71428571428571,2.28571428571429,1,3.16666666666667,1.33333333333333
"48","NYT Others",22,2.85714285714286,2.71428571428571,1.57142857142857,3.14285714285714,1.85714285714286
"49","NYT Others",24,1.42857142857143,1,1.28571428571429,3.14285714285714,1.28571428571429
"50","NYT Others",25,4.71428571428571,4.57142857142857,1,0.857142857142857,3.85714285714286
"51","NYT Others",26,4.85714285714286,4.57142857142857,0.428571428571429,0.857142857142857,4.14285714285714
"52","NYT Others",28,3.85714285714286,1.57142857142857,1,1.28571428571429,1.57142857142857
"53","NYT Others",29,2.71428571428571,2.85714285714286,1,3.14285714285714,0.714285714285714
"54","NYT Others",30,3.14285714285714,3.85714285714286,1,2,1.71428571428571
"55","NYT Others",32,4,3.42857142857143,0.714285714285714,1.57142857142857,2.71428571428571
"56","NYT Others",33,4.42857142857143,3.57142857142857,0.428571428571429,1.42857142857143,2.85714285714286
"57","NYT Others",34,2.42857142857143,2.28571428571429,2.28571428571429,2.85714285714286,1.28571428571429
"58","NYT Others",36,1,0.857142857142857,2,3.71428571428571,0.571428571428571
"59","NYT Others",37,2.28571428571429,1.42857142857143,2.85714285714286,3,0.857142857142857
"60","NYT Others",38,3.71428571428571,1.57142857142857,2.42857142857143,2,1.85714285714286
"61","NYT Others",40,4,3.14285714285714,1.28571428571429,1.28571428571429,2.14285714285714
"62","NYT Others",42,4.85714285714286,1.42857142857143,1.28571428571429,1.71428571428571,2.57142857142857
"63","NYT Others",44,3.14285714285714,2.71428571428571,1.57142857142857,5.28571428571429,0.857142857142857
"64","NYT Others",46,4.85714285714286,5.14285714285714,0.857142857142857,3,1.14285714285714
"65","NYT Others",48,3.57142857142857,2.42857142857143,0.571428571428571,1.28571428571429,2
"66","NYT Others",49,4.57142857142857,2.85714285714286,1,0.571428571428571,2.28571428571429
"67","NYT Others",53,1.42857142857143,2.42857142857143,2.57142857142857,1.85714285714286,0.857142857142857
"68","NYT Others",54,2.85714285714286,2.71428571428571,3.42857142857143,1.71428571428571,0.571428571428571
"69","NYT Others",55,3.85714285714286,1.71428571428571,1.28571428571429,0.714285714285714,2
"70","NYT Others",64,3.85714285714286,1.85714285714286,0.714285714285714,1.57142857142857,2.28571428571429
"71","NYT Others",65,4.14285714285714,2.85714285714286,2.71428571428571,1.42857142857143,1.57142857142857
"72","NYT Others",66,3,3,2.42857142857143,1.28571428571429,1.14285714285714
"73","NYT Others",67,3.14285714285714,1.42857142857143,2.28571428571429,2.14285714285714,0.714285714285714
"74","NYT Others",69,1.42857142857143,0.571428571428571,0.857142857142857,1,1.85714285714286
"75","NYT Others",70,3.57142857142857,3.71428571428571,1.57142857142857,2.14285714285714,2
"76","NYT Others",71,2,1.85714285714286,1.42857142857143,2,0.285714285714286
"77","NYT Others",72,1.14285714285714,0.857142857142857,2,2,0.142857142857143
"78","NYT Others",74,4.28571428571429,4,2,1,2.28571428571429
"79","NYT Others",75,3.42857142857143,2.28571428571429,1.85714285714286,1.85714285714286,1.42857142857143
"80","NYT Others",77,2.28571428571429,0.857142857142857,0.857142857142857,0.428571428571429,2.57142857142857
"81","NYT Others",79,3.28571428571429,3.28571428571429,3.28571428571429,1.42857142857143,0.428571428571429
"82","NYT Others",80,1.28571428571429,0.428571428571429,0.857142857142857,0.428571428571429,0.857142857142857
"83","NYT Others",81,2.71428571428571,4,1.57142857142857,1.28571428571429,0.571428571428571
"84","NYT Others",83,1.14285714285714,1.85714285714286,2.42857142857143,1.85714285714286,0.571428571428571
"85","NYT Others",84,1.14285714285714,1.28571428571429,2.57142857142857,3,0.428571428571429
"86","NYT Others",85,3.85714285714286,3.57142857142857,2.57142857142857,3.14285714285714,1.85714285714286
"87","NYT Others",89,3.14285714285714,2,0.857142857142857,2.42857142857143,1
"88","NYT Others",90,1,1.57142857142857,1.28571428571429,2.28571428571429,0.142857142857143
"89","NYT Others",95,1.71428571428571,1.42857142857143,1.85714285714286,2.85714285714286,0.428571428571429
"90","NYT Others",96,3.85714285714286,2.42857142857143,0.857142857142857,1,1.14285714285714
"91","NYT Others",97,4,3.85714285714286,0.714285714285714,1.57142857142857,1.42857142857143
"92","NYT Others",98,3.5,2.33333333333333,1.16666666666667,0.666666666666667,0.666666666666667
"93","NYT Others",99,2.85714285714286,1.42857142857143,0.285714285714286,0.142857142857143,1.42857142857143
"94","NYT Others",102,4.28571428571429,3.71428571428571,0.428571428571429,0.857142857142857,1.71428571428571
"95","NYT Others",104,2.42857142857143,1.85714285714286,1,1.71428571428571,1.14285714285714
"96","NYT Others",105,3.28571428571429,1.42857142857143,0.285714285714286,1.14285714285714,1
"97","NYT Others",106,1.28571428571429,1.57142857142857,1.28571428571429,2.57142857142857,0.714285714285714
"98","NYT Others",107,2.42857142857143,3,1.57142857142857,1.57142857142857,1.14285714285714
"99","NYT Others",108,1.71428571428571,1.14285714285714,2.42857142857143,2.57142857142857,0.428571428571429
"100","NYT Others",109,2.71428571428571,2.28571428571429,2,3.28571428571429,0.428571428571429
"101","NYT Others",110,2.14285714285714,2.28571428571429,1.85714285714286,2.14285714285714,1
"102","NYT Others",111,5,4.71428571428571,1.28571428571429,0.428571428571429,1.71428571428571
"103","NYT Others",112,1.71428571428571,2.42857142857143,3.14285714285714,4.57142857142857,0.714285714285714
"104","NYT Others",113,4.71428571428571,3.14285714285714,0.857142857142857,1,1.85714285714286
"105","NYT Others",114,1.66666666666667,1.66666666666667,2.5,2,0.666666666666667
"106","NYT Others",115,3.71428571428571,2.28571428571429,2.28571428571429,1,1.28571428571429
"107","NYT Others",116,2.28571428571429,2.42857142857143,2.85714285714286,2,0.714285714285714
"108","NYT Others",117,2.85714285714286,2.85714285714286,2.57142857142857,3.28571428571429,1.28571428571429
"109","NYT Others",118,2.85714285714286,2.14285714285714,2,2.57142857142857,1
"110","NYT Others",120,1.28571428571429,2.14285714285714,2.85714285714286,2.14285714285714,0.285714285714286
"111","NYT Others",121,4.71428571428571,3.14285714285714,0.571428571428571,0.571428571428571,1.71428571428571
"112","NYT Others",123,3.57142857142857,2.14285714285714,0.714285714285714,0.857142857142857,1.85714285714286
"113","NYT Others",125,4.85714285714286,4.14285714285714,0.857142857142857,0.857142857142857,1.85714285714286
"114","NYT Others",126,2.14285714285714,3.14285714285714,1,1,0.857142857142857
"115","NYT Others",127,3.57142857142857,5,2.71428571428571,0.714285714285714,0.428571428571429
"116","NYT Others",129,4.14285714285714,2,1.42857142857143,0.428571428571429,1
"117","NYT Others",130,4,3.83333333333333,1.16666666666667,4,1.83333333333333
"118","NYT Others",131,4.5,2,0.666666666666667,1.83333333333333,1
"119","NYT Others",133,2.57142857142857,2.14285714285714,1.14285714285714,2,0.285714285714286
"120","NYT Others",134,1.5,4,0.833333333333333,3.16666666666667,0.333333333333333
"121","NYT Others",138,1.42857142857143,3.28571428571429,3.28571428571429,3.28571428571429,0.285714285714286
"122","NYT Others",141,2,2,3.57142857142857,4,0.285714285714286
"123","NYT Others",142,3.42857142857143,2.57142857142857,1.71428571428571,1.71428571428571,0.571428571428571
"124","NYT Others",144,3.14285714285714,3.28571428571429,0.714285714285714,4,1.71428571428571
"125","NYT Others",145,4.57142857142857,2.71428571428571,0.857142857142857,1.57142857142857,3.14285714285714
"126","NYT Others",152,4.42857142857143,2.14285714285714,0.571428571428571,0.428571428571429,1.85714285714286
"127","NYT Others",156,2,3.14285714285714,2.42857142857143,2,0.714285714285714
"128","NYT Others",157,1.14285714285714,2.85714285714286,1.71428571428571,1.14285714285714,0.428571428571429
"129","NYT Others",158,3.28571428571429,1.42857142857143,1,0.571428571428571,1.85714285714286
"130","NYT Others",162,3.71428571428571,2.85714285714286,2.85714285714286,2.57142857142857,1.71428571428571
"131","NYT Others",164,3.14285714285714,3.14285714285714,0.428571428571429,1.28571428571429,2.28571428571429
"132","NYT Others",166,3.57142857142857,4.14285714285714,1,1.42857142857143,1.14285714285714
"133","NYT Others",167,4.42857142857143,2.85714285714286,0.571428571428571,3,3
"134","NYT Others",170,3.85714285714286,3.85714285714286,1.57142857142857,2,1.57142857142857
"135","NYT Others",172,1,1.28571428571429,0.571428571428571,0.714285714285714,0.142857142857143
"136","NYT Others",173,3.42857142857143,3,0.571428571428571,1,2.57142857142857
"137","USA Today ",1,0.285714285714286,0.428571428571429,0.571428571428571,0.428571428571429,0.142857142857143
"138","USA Today ",2,1.71428571428571,1.14285714285714,2.42857142857143,2.71428571428571,0.285714285714286
"139","USA Today ",9,1.14285714285714,1.14285714285714,1.85714285714286,2.28571428571429,0.857142857142857
"140","USA Today ",18,2.85714285714286,2.28571428571429,2.28571428571429,2.28571428571429,0.857142857142857
"141","USA Today ",20,1.71428571428571,2.57142857142857,0.857142857142857,1.28571428571429,0.571428571428571
"142","USA Today ",23,2.14285714285714,1.42857142857143,1.14285714285714,2.14285714285714,0.714285714285714
"143","USA TODAY ",22,1.71428571428571,0.571428571428571,0.285714285714286,0.714285714285714,0.285714285714286
"144","WSJ       ",5,1.28571428571429,2.28571428571429,1.42857142857143,3,0.285714285714286
"145","WSJ       ",11,0.571428571428571,0.857142857142857,1.28571428571429,1.42857142857143,0.428571428571429
"146","WSJ       ",13,1.14285714285714,0.857142857142857,2,1.42857142857143,0.714285714285714
"147","WSJ       ",16,2.71428571428571,2.85714285714286,1.71428571428571,1.14285714285714,0.285714285714286
"148","WSJ       ",17,3.42857142857143,2,1.71428571428571,2.57142857142857,3
"149","WSJ       ",19,0.714285714285714,2.28571428571429,2.71428571428571,2.85714285714286,0.571428571428571
"150","WSJ       ",21,1.14285714285714,1.14285714285714,1.28571428571429,1.71428571428571,0.285714285714286
"151","WSJ       ",27,0.714285714285714,1.42857142857143,1.57142857142857,2.42857142857143,1.57142857142857
"152","WSJ       ",28,0.714285714285714,1,1.14285714285714,2.14285714285714,0.285714285714286
"153","WSJ       ",29,1.71428571428571,0.857142857142857,1.14285714285714,0.714285714285714,1.28571428571429
"154","WSJ       ",30,1.14285714285714,1.42857142857143,0.714285714285714,1.14285714285714,0.142857142857143
"155","WSJ       ",34,3.71428571428571,1.85714285714286,1.42857142857143,0.857142857142857,0.714285714285714
"156","WSJ       ",35,0.857142857142857,0.714285714285714,1.42857142857143,1.71428571428571,0.857142857142857
"157","WSJ       ",36,0.428571428571429,1.71428571428571,2.85714285714286,2.28571428571429,0.285714285714286
"158","WSJ       ",38,2.14285714285714,3.14285714285714,0.714285714285714,1.85714285714286,2
"159","WSJ       ",39,0.714285714285714,0.714285714285714,0.428571428571429,1.28571428571429,0.285714285714286
"160","WSJ       ",40,0.714285714285714,1.85714285714286,1.14285714285714,2,0.142857142857143
"161","WSJ       ",41,0.857142857142857,1.14285714285714,1,1.14285714285714,0.142857142857143
"162","WSJ       ",42,0.857142857142857,1.14285714285714,1.57142857142857,2.14285714285714,0.142857142857143
"163","WSJ       ",43,0.714285714285714,0.571428571428571,1.28571428571429,0.571428571428571,0.142857142857143
"164","WSJ       ",46,1,0.714285714285714,1.57142857142857,2.28571428571429,0.571428571428571
"165","WSJ       ",48,1.42857142857143,0.857142857142857,1.71428571428571,2.14285714285714,1
"166","WSJ       ",50,1.85714285714286,2.71428571428571,1.57142857142857,1.28571428571429,1
"167","WSJ       ",51,1.85714285714286,1.42857142857143,1.85714285714286,2.28571428571429,0.857142857142857
"168","WSJ       ",54,1.71428571428571,1.42857142857143,1.85714285714286,2,0.285714285714286
"169","WSJ       ",61,0.857142857142857,1.14285714285714,1.85714285714286,3.57142857142857,0.428571428571429
"170","WSJ       ",66,0.428571428571429,1,1.57142857142857,1.57142857142857,1
"171","WSJ       ",68,2.71428571428571,3.14285714285714,2,1.28571428571429,1.42857142857143
"172","WSJ       ",70,0.428571428571429,0.428571428571429,1.14285714285714,2.14285714285714,0.142857142857143
"173","WSJ       ",71,0.714285714285714,1.28571428571429,1.57142857142857,0.714285714285714,0.428571428571429
"174","WSJ       ",72,0.857142857142857,0.428571428571429,2.14285714285714,2.57142857142857,0.857142857142857
"175","WSJ       ",73,0.285714285714286,1.28571428571429,1.57142857142857,0.857142857142857,1
"176","WSJ       ",78,0.714285714285714,2.14285714285714,1.28571428571429,1.28571428571429,1.14285714285714
"177","WSJ       ",81,3.14285714285714,3,0.428571428571429,0.285714285714286,1.57142857142857
"178","WSJ       ",83,0.428571428571429,1.42857142857143,1.42857142857143,1.85714285714286,1
"179","WSJ       ",84,0.571428571428571,1.28571428571429,1.57142857142857,1.57142857142857,0.857142857142857
"180","WSJ       ",87,2.14285714285714,1.71428571428571,1,1.28571428571429,1
"181","WSJ       ",88,1.71428571428571,2.57142857142857,0.571428571428571,1,0.714285714285714
"182","WSJ       ",89,0.142857142857143,2.42857142857143,0.857142857142857,1.42857142857143,1.28571428571429
"183","WSJ       ",94,0.285714285714286,2.28571428571429,0.714285714285714,1.14285714285714,1.14285714285714
"184","WSJ       ",96,0.428571428571429,2.14285714285714,0.714285714285714,1,1
"185","WSJ       ",97,3,2.42857142857143,2.42857142857143,2.85714285714286,2
"186","WSJ       ",98,1.57142857142857,1.71428571428571,1.85714285714286,2.14285714285714,0.142857142857143
"187","WSJ       ",100,2.28571428571429,1.85714285714286,0.285714285714286,1.14285714285714,1.71428571428571
"188","WSJ       ",103,2.42857142857143,1.28571428571429,0.428571428571429,1.42857142857143,0.857142857142857
"189","WSJ       ",112,0.714285714285714,2.57142857142857,2.28571428571429,2,1
"190","WSJ       ",114,0.428571428571429,1.57142857142857,2.85714285714286,2,0.142857142857143
"191","WSJ       ",115,3.71428571428571,2.14285714285714,2.14285714285714,0.285714285714286,2.42857142857143
"192","WSJ       ",124,1.28571428571429,2,1.71428571428571,2.57142857142857,0.571428571428571
"193","WSJ       ",127,1.57142857142857,1.71428571428571,1.14285714285714,1.42857142857143,1
"194","WSJ       ",128,2.42857142857143,1.28571428571429,1.14285714285714,1.28571428571429,2.57142857142857
"195","WSJ       ",130,0.714285714285714,1.14285714285714,1.42857142857143,0.857142857142857,0.714285714285714
"196","WSJ       ",135,2.85714285714286,2.14285714285714,1.28571428571429,2.57142857142857,1.42857142857143
"197","WSJ       ",137,1.14285714285714,2.28571428571429,0.714285714285714,2.42857142857143,0.714285714285714
"198","WSJ       ",141,1.42857142857143,0.857142857142857,0.571428571428571,2.57142857142857,1.28571428571429
"199","WSJ       ",143,3.28571428571429,1.57142857142857,1.71428571428571,1.71428571428571,2.85714285714286
"200","WSJ       ",144,1.42857142857143,2,0.714285714285714,0.428571428571429,2.28571428571429
"201","WSJ       ",146,1,1.14285714285714,1,2.14285714285714,1.14285714285714
"202","WSJ       ",147,3,0.571428571428571,1.14285714285714,0.285714285714286,3.14285714285714
"203","WSJ       ",150,1.71428571428571,1.28571428571429,0.571428571428571,0.857142857142857,1
"204","WSJ       ",152,4.42857142857143,3.71428571428571,0.428571428571429,1,2.14285714285714
"205","WSJ       ",153,1.71428571428571,2.28571428571429,0.571428571428571,1.71428571428571,1.42857142857143
"206","WSJ       ",154,1,1.57142857142857,1.57142857142857,2.42857142857143,0.714285714285714
"207","WSJ       ",156,0,0.714285714285714,1.14285714285714,3.14285714285714,0.714285714285714
"208","WSJ       ",157,4.57142857142857,2,0,0.142857142857143,2
"209","WSJ       ",158,1.28571428571429,1.42857142857143,1.57142857142857,1.71428571428571,0.571428571428571
"210","WSJ       ",160,0.428571428571429,1,0.571428571428571,0.428571428571429,0.571428571428571
"211","WSJ       ",161,4.42857142857143,2.28571428571429,0.714285714285714,0.857142857142857,1.28571428571429
"212","WSJ       ",164,1.42857142857143,1.57142857142857,0.857142857142857,1.14285714285714,0.857142857142857
"213","WSJ       ",165,4.85714285714286,1.85714285714286,0.571428571428571,1,1.85714285714286
"214","WSJ       ",168,5.57142857142857,3.57142857142857,0.857142857142857,0.571428571428571,2.57142857142857
"215","WSJ       ",170,2.28571428571429,1.71428571428571,0.857142857142857,2,1
"216","WSJ       ",171,5,3.42857142857143,0.857142857142857,0.571428571428571,2.28571428571429
"217","WSJ       ",172,1.42857142857143,1.71428571428571,1.42857142857143,2.57142857142857,0.285714285714286
"218","WSJ       ",176,1.57142857142857,1.85714285714286,1.71428571428571,3.85714285714286,0.285714285714286
"219","WSJ       ",178,2.85714285714286,3,1.85714285714286,2.42857142857143,1.71428571428571
"220","WSJ       ",180,2.42857142857143,1.85714285714286,1.42857142857143,1,0.571428571428571
"221","WSJ       ",182,2.57142857142857,1.71428571428571,1.42857142857143,3.14285714285714,1
"222","WSJ       ",184,3,3.42857142857143,1.42857142857143,1.57142857142857,0.714285714285714
"223","WSJ       ",188,1.85714285714286,3.57142857142857,1.85714285714286,2.42857142857143,0.857142857142857
"224","WSJ       ",189,2.28571428571429,1.85714285714286,1.71428571428571,0.857142857142857,1.14285714285714
"225","WSJ       ",190,2.42857142857143,1.57142857142857,0.571428571428571,0.857142857142857,1.28571428571429
"226","WSJ       ",193,2,1.14285714285714,1.85714285714286,2.71428571428571,0.571428571428571
"227","WSJ       ",198,1.28571428571429,2.71428571428571,1.57142857142857,1.57142857142857,1.42857142857143
"228","WSJ       ",199,1.42857142857143,1,0.714285714285714,0.714285714285714,3
"229","WSJ       ",201,2.14285714285714,0.714285714285714,0.428571428571429,1.57142857142857,2.28571428571429
"230","WSJ       ",210,1.83333333333333,1.33333333333333,1.5,2,0.5
"231","WSJ       ",211,1.66666666666667,1.83333333333333,1.5,2,0.5
"232","WSJ       ",212,1.5,2.5,1.16666666666667,1.83333333333333,0.833333333333333
